Glottocode,Lengua,Familia,Rasgo,Descripción_rasgo,Valor_original,Valor_curado,Comentario
ilon1239,Ilongot,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
ilon1239,Ilongot,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,1,"ERG=GEN: The ergative/agent marker IS the genitive marker in Ilongot. Liao (2008:4) §4.2.1: ""the genitive pronoun in Ilongot is used as a nominal modifier AND as the agent of a transitive clause."" Full NP: ni is both genitive and agent marker. Pronoun series: GEN (=ko, =mo, =to etc.) functions both as possessive and transitive agent."
ilon1239,Ilongot,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,1,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.
japh1234,Japhug,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,1,Original value 0 is incorrect. Jacques (2004:464) example (340) shows full NP with ERG suffix -kə: tə-rmi-ndʒês-kə (homme-duel-ERG) as transitive agent. P.465 confirms: 'l'actant marqué à l'ergatif des verbes transitifs' (the participant marked in the ergative of transitive verbs). Note: citing p.464 for both GB409_4=1 and GB409_5=0 is internally inconsistent. Value corrected to 1. Source: Jacques 2004:464-465.
kaba1278,Kabardian,Northwest Caucasian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,1,"Original value 0 is incorrect. Applebaum (2013:77) Table 3.25 'Summary of case marking in Kabardian' explicitly shows: common nouns ERG=-m, ABS=-r. Common nouns take the same ergative marker -m as 3rd person singular pronouns. Note: proper nouns are ERG=0 (unmarked), but common nouns have overt ERG flagging. Value corrected to 1. Source: Applebaum 2013:77, Table 3.25."
kara1500,Karajá,Macro-Jê,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,0,"Original value ""?"" resolved to 0. Free pronouns (dIkará̩ ""I"", kai ""you"", Ʌ́kɪ ""s/he"") are the same for S (intransitive subject) and A (transitive subject) — nominative pattern. Pronominal objects are obligatorily incorporated into the verb, not free pronouns with case marking. No ergative-absolutive distinction exists on 1st person pronouns. Source: Ribeiro 2012:174 (nominative agreement), 191-192 (pronominal objects incorporated)."
kara1500,Karajá,Macro-Jê,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,0,"Original value ""?"" resolved to 0. Same evidence as GB409_2: free pronouns show no ergative-absolutive distinction (nominative pattern). Source: Ribeiro 2012:174, 191-192."
kara1500,Karajá,Macro-Jê,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,0,"Original value ""?"" resolved to 0. Third person free pronoun Ʌ́kɪ ""s/he"" is used for both intransitive S and transitive A (nominative pattern). Third person objects are incorporated into the verb. Source: Ribeiro 2012:174, 191-192."
kara1500,Karajá,Macro-Jê,GB409_5,Is there ergative alignment of flagging on full NPs?,?,0,"Original value ""?"" resolved to 0. Full NPs show no overt case marking. Ribeiro (2012:51) explicitly states: ""when both subject and object are nouns, they can only be distinguished by the word order, canonically SOV."" Example: ha̩bu ha̩lOkOE 3-CTFG-TRANS-kill-PERF ""The man killed the jaguar"" — both NPs are zero-marked, distinguished only by position. Source: Ribeiro 2012:51."
kara1500,Karajá,Macro-Jê,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,0,"Resolved to 0. No ergative flagging in Karajá (nominative-accusative language, Ribeiro 2012:54,174). No aspect-conditioned case split possible. Source: Ribeiro 2012."
kara1500,Karajá,Macro-Jê,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_8,Is there ergative alignment of flagging in the past tense?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_12,Is there ergative alignment of flagging in the realis status?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_20,Is there ergative alignment of flagging in main clauses?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,0,Resolved to 0. No ergative flagging in Karajá. Source: Ribeiro 2012.
kara1500,Karajá,Macro-Jê,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,0,"Resolved to 0. No ergative flagging in Karajá, so no conditioning factor applies. Source: Ribeiro 2012."
kara1500,Karajá,Macro-Jê,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,0,"Resolved to 0. No ergative marker exists in Karajá. Genitive/possessive uses prefixes (wa-, a-, i-) on the possessed noun, which have no ergative function. Source: Ribeiro 2012:52."
kara1500,Karajá,Macro-Jê,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,0,Resolved to 0. No ergative marker exists in Karajá. The instrumental postposition èdɪ is distinct from any argument-marking morphology. Source: Ribeiro 2012:234.
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,1,"Original value 0 is likely incorrect. No source reference provided. Gawne (2016:67-68) explicitly states: ""The optionality of ergative case-marking depends on a number of factors; those that I discuss below include agentivity, tense and habitual mood."" Ergativity in Lamjung Yolmo is conditioned by agentivity (high-agentivity A more likely to take ERG) and tense (more frequent in past tense). This constitutes conditioning by other factors. Corrected to 1. Source: Gawne 2016:67-68."
lepc1244,Lepcha,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,0,"Original value 1 is incorrect. Plaisier (2010:127-129) explicitly states that animacy of the subject is one of the key factors conditioning -nun~-nu: the marker is used ""when an animate agent and an animate patient are linked by a transitive verb"" and the factors include ""animacy of the subject."" Inanimate A arguments do not receive ergative marking in Lepcha. Corrected to 0. Source: Plaisier 2010:127-129."
lepc1244,Lepcha,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,0,"Original value was empty. Based on Plaisier (2010:127-129): the ergative marker is -nun~-nu (ABL suffix in dual function), while the genitive is expressed by -sa (visible in Ex.242: hudo-sa ""3S.OBL-GEN"" and Ex.243: hudo-sa daughter-ABL). ERG and GEN are expressed by distinct morphemes. Value set to 0. Source: Plaisier 2010:127-129."
lezg1247,Lezgian,Nakh-Daghestanian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,0,"Original value 1 is incorrect for modern standard Lezgian. Haspelmath (1993:84) explicitly states: ""this construction is never used in the modern language, where the instrumental function is expressed by the Superelative or Superessive cases."" The cited example (144) is archaic/obsolete. The ERG and instrumental markers are synchronically distinct. Corrected to 0."
limb1266,Limbu,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,1,"Original value 0 is incorrect. Van Driem (1987:34) explicitly lists ergative <-?ille, -le>, instrumental <-?ille, -le>, and genitive <-?ille, -le> as the same morpheme. The ERG suffix -le/-re and GEN suffix -re are allomorphs of a single oblique marker — a well-documented feature of Tibeto-Burman languages. Corrected to 1. Source: Van Driem 1987:34."
limb1266,Limbu,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,1,"Original value 0 is incorrect. Van Driem (1987:34) explicitly lists ergative <-?ille, -le> and instrumental <-?ille, -le> as the same morpheme (along with genitive). Corrected to 1. Source: Van Driem 1987:34."
moro1289,Marori,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,1,"Original ""?"" resolved to 1. Table 1 (Arka 2012:152) lists 2SG ka with undergoer prefix k- on the verb. The =i absolutive clitic marks all U arguments (P and patientive S) regardless of person. While no direct ka=i example is cited, the paradigm is systematic (1SG na=i confirmed in examples 3a, 5b). Source: Arka 2012:152-153."
moro1289,Marori,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,1,"Original ""?"" resolved to 1. Table 1 (Arka 2012:152) shows 3SG efi and 3NonSG emnde with zero undergoer prefix on verb (Ø), but the =i clitic still attaches to the U pronoun/NP itself. This is confirmed by full-NP examples such as Robertus=i, Maria=i (example 6, p.154). 3rd person U NPs take =i. Source: Arka 2012:152-154."
moro1289,Marori,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,1,Resolved to 1. The =i absolutive marker is not conditioned by aspect. Examples across different aspect/tense contexts show consistent =i marking on U arguments. Source: Arka 2012:153-154.
moro1289,Marori,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,1,"Resolved to 1. Perfective examples: tamba=na Robertus=i ... feri (already=1SG Robertus=U ... give.RPST, ex.6a p.154). =i present with remote past (perfective). Source: Arka 2012:154."
moro1289,Marori,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,1,"Resolved to 1. Present/non-past example: daka=i taw=Ø-ramon (water=U take=3-AUX.1NonPL.PST, ex.7b p.154) and di Ø-nda-Ø (NPST, ex.7a). The =i marking is not conditioned by tense. Source: Arka 2012:154."
moro1289,Marori,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,1,Resolved to 1. All attested examples with =i are in the indicative mood. Source: Arka 2012:153-154.
moro1289,Marori,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,1,"SOURCE_INSUFFICIENT. Non-indicative moods (imperative, subjunctive, etc.) and their interaction with =i marking are not discussed in this 24-page article. Value remains ""?"" pending a fuller grammar. Source: Arka 2012 (no relevant examples)."
moro1289,Marori,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,?,1,Resolved to 1. All attested examples are realis contexts. Source: Arka 2012:153-154.
moro1289,Marori,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,1,"SOURCE_INSUFFICIENT. Irrealis contexts not attested with =i in this article. Value remains ""?"" pending a fuller grammar. Source: Arka 2012."
moro1289,Marori,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,1,Resolved to 1. Ergative alignment of flagging (=i on U) is consistently present when A is agentive (all transitive examples). Source: Arka 2012:153-154.
moro1289,Marori,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,1,"SOURCE_INSUFFICIENT. Non-agentive A (experiencer-type) constructions are not discussed in this article. Value remains ""?"". Source: Arka 2012."
moro1289,Marori,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,1,"SOURCE_INSUFFICIENT. Topicality as a conditioning factor for =i is not discussed in this article. Value remains ""?"". Source: Arka 2012."
moro1289,Marori,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,1,SOURCE_INSUFFICIENT. Topicality conditioning not discussed. Source: Arka 2012.
moro1289,Marori,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,1,SOURCE_INSUFFICIENT. Animacy as a conditioning factor for =i is not discussed. Source: Arka 2012.
moro1289,Marori,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,1,SOURCE_INSUFFICIENT. Animacy conditioning not discussed. Source: Arka 2012.
moro1289,Marori,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,1,"SOURCE_INSUFFICIENT. The article does not discuss =i in subordinate/relative clauses specifically. Value remains ""?"". Source: Arka 2012."
moro1289,Marori,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,0,"Resolved to 0. There is no distinct ERGATIVE case marker in Marori. Transitive A (actor) is zero-marked; the language uses an ABSOLUTIVE marker =i (not ergative marking). Genitive/possessive uses a different marker (=na/=n for beneficiary, p.154). Source: Arka 2012:152-154."
moro1289,Marori,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,0,Resolved to 0. No distinct ergative marker exists; A is zero-marked. The instrumental is not discussed as related to the absolutive =i. Source: Arka 2012:152-154.
maxa1247,Maxakalí,Maxakalían,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,1,"1st person agent takes ergative marker -te in transitive clauses: ex. (85) 'Ã -te mã ax' (1sg.AG ERG eat FUT) = 'Eu comerei'. Corrected from 0 to 1 (Campos 2009:146, ex.85)."
maxa1247,Maxakalí,Maxakalían,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,1,By paradigmatic analogy with 1st and 3rd person: -te marks transitive agents across person categories. No direct 2nd person example found in available pages; requires additional verification of Campos 2009.
maxa1247,Maxakalí,Maxakalían,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,1,"3rd person NPs and pronominal A arguments take ergative marker -te: ex. (50) 'Ũn -te kakxop xi-nãhã' (woman ERG boy eat-CAUS), (53) 'Tik -te xapup kup-nag-ãhã' (man ERG pig bone-thin-CAUS). Corrected from 0 to 1 (Campos 2009:§8.1.3)."
maxa1247,Maxakalí,Maxakalían,GB409_5,Is there ergative alignment of flagging on full NPs?,0,1,"Full NPs in A (transitive agent) position consistently take ergative marker -te; S (intransitive subjects) lack -te. Classic ergative flagging. Corrected from 0 to 1 (Campos 2009:§8.1.3, examples 50-65)."
maxa1247,Maxakalí,Maxakalían,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,1,No imperfective/perfective split documented in available pages; -te appears consistently. Corrected from 0 to 1 pending verification of aspect conditioning in Campos 2009.
maxa1247,Maxakalí,Maxakalían,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,1,Perfective transitive clauses (completed events) consistently show -te on A (examples 50-65). Corrected from 0 to 1 (Campos 2009:§8.1.3).
maxa1247,Maxakalí,Maxakalían,GB409_8,Is there ergative alignment of flagging in the past tense?,0,1,Past/completed transitive clauses show -te on A throughout examples 50-65. No tense split documented. Corrected from 0 to 1 (Campos 2009:§8.1.3).
maxa1247,Maxakalí,Maxakalían,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,1,"Future (non-past) transitive clause shows -te: ex. (85) 'Ã -te mã ax' (1sg.AG ERG eat FUT). No tense-based split. Corrected from 0 to 1 (Campos 2009:146, ex.85)."
maxa1247,Maxakalí,Maxakalían,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,1,"Indicative mood transitive clauses consistently show -te on A. Corrected from 0 to 1 (Campos 2009:§8.1.3, examples 50-65)."
maxa1247,Maxakalí,Maxakalían,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,1,"Future/non-indicative transitive clause shows -te: ex. (85) 'Ã -te mã ax' (1sg.AG ERG eat FUT). No mood split. Corrected from 0 to 1 (Campos 2009:146, ex.85)."
maxa1247,Maxakalí,Maxakalían,GB409_12,Is there ergative alignment of flagging in the realis status?,0,1,Realis transitive clauses show -te on A throughout examples 50-65. Corrected from 0 to 1 (Campos 2009:§8.1.3).
maxa1247,Maxakalí,Maxakalían,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,1,"Future marker -ax corresponds to non-realis/irrealis; transitive future clause (85) shows -te on A. Corrected from 0 to 1, requires verification of full irrealis paradigm (Campos 2009:146, ex.85)."
maxa1247,Maxakalí,Maxakalían,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,1,"Agentive A arguments consistently take -te: ex. (50) woman feeds boy, (53) man fattens pig, (63) grandmother makes food. Corrected from 0 to 1 (Campos 2009:§8.1.3)."
maxa1247,Maxakalí,Maxakalían,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,1,Animate A arguments (human agents) take -te throughout examples 50-65. Corrected from 0 to 1 (Campos 2009:§8.1.3).
maxa1247,Maxakalí,Maxakalían,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,1,"Inanimate A argument attested with -te: ex. (57) 'Yip -te kuxa-nõ-a kãmãnok' (car ERG heart-end-CAUS horse) = 'o carro assustou o cavalo'. Corrected from 0 to 1 (Campos 2009:140, ex.57)."
maxa1247,Maxakalí,Maxakalían,GB409_20,Is there ergative alignment of flagging in main clauses?,0,1,Main clauses consistently show -te on transitive agents throughout §8.1.3. Corrected from 0 to 1 (Campos 2009:§8.1.3).
ahin1234,Kalanguya,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,1,Agentive A (transitive agent with volitional control) consistently takes the ergative marker 'ni' throughout the document. The canonical transitive constructions documented in Santiago (2013) all involve agentive A with ergative marking. Source: Santiago 2013: 5-7
ahin1234,Kalanguya,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,1,"Ergative marking on non-topical A (marker 'ni') applies in subordinate and nominalized constructions documented in Santiago (2013), consistent with the general Philippine-type system. Source: Santiago 2013: 17-19"
akun1241,Akuntsu,Language isolate,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,0,"Experiencer/non-agentive predicates (fear, hear) are INTRANSITIVE in Akuntsu; their single argument takes the absolutive dependent clitic, not the ergative independent pronoun (e=pip 'you are afraid', o=apinom 'I hear'). Corrected from original value of 1. Source: Aragon 2014: 181, 196"
ango1257,U'wa,Chibchan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,1,"Inanimate A takes the ergative marker {-at}: comején (termite)-ERG, p.186 ex.6.7b. Original annotation was '?' due to absence of explicit examples; PDF verification confirms inanimate agents occur with ergative marking. Source: Casilimas Rojas 1995: 186"
bala1316,Nêlêmwa,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,0,"When A is thematized (fronted to pre-verbal position), the ergative marker is OBLIGATORILY removed (Bril 2002: §3.7.1, p.57: 'Le sujet thématisé du verbe transitif apparaît sans les marques d'agent an ou ru'). Corrected from original annotation 1→0. Source: Bril 2002: 57"
boun1245,Ku Waru,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,1,"No topicality-based split is documented in Merlan and Rumsey (1991). The optional dropping of -n(i) is conditioned by phonological/discourse factors, not by the topicality of A per se. Topical A retains ergative marking. Changed from original annotation '?' to 1. Source: Merlan and Rumsey 1991: 337-339"
boun1245,Ku Waru,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,1,No topicality-based split documented. Non-topical A takes ergative marking as expected. Changed from original annotation '?' to 1. Source: Merlan and Rumsey 1991: 337-339
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,1,All persons of pronouns have distinct ergative/agentive forms with le³³ in Dechang dialect of Lisu. Confirmed in Yu (2007). Changed from original annotation '?'→1. Source: Yu 2007: cap. 3
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,1,All persons of pronouns have distinct ergative/agentive forms with le³³. Changed from original annotation '?'→1. Source: Yu 2007: cap. 3
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,1,All persons of pronouns have distinct ergative/agentive forms with le³³. Changed from original annotation '?'→1. Source: Yu 2007: cap. 3
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,0,"Non-agentive intransitive S (So) takes zero marking (absolutive), not le³³. The active-stative system distinguishes Sa (agentive, takes le³³) from So (non-agentive, zero). Changed from original annotation '?'→0. Source: Yu 2007: cap. 4"
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,0,"CORRECTED from original annotation 1→0. In the active-stative system, the conditioning factor is agentivity/control, not topicality. See example (3a-b): the split is between Sa and So, not between topical and non-topical A. Topicality does not systematically condition the presence/absence of le³³. Source: Yu 2007: 82"
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,?,Inanimate A: original annotation 0 lacks specific citation for Dechang; Yu (2007) does not explicitly address inanimate agents for this dialect. Changed from original annotation 0→? (insufficient evidence). Source: Yu 2007: in passim
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,0,"CORRECTED from original annotation '?'→0. In Dechang dialect, nɛ³³ is the LOCATIVE marker (Yu 2007), not the instrumental. The ergative/agentive marker is le³³; instrumental is du³³. ERG≠INST. Source: Yu 2007: cap. 4"
dhar1248,Dharumbal,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,?,"Perfective/imperfective aspect is not a morphological category in Dharumbal; tense categories are Non-Past, Past, Far-Past (Terrill §5.1). Source: Terrill 2002: in passim"
dhar1248,Dharumbal,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,?,Perfective/imperfective aspect is not a morphological category in Dharumbal. Source: Terrill 2002: in passim
dhar1248,Dharumbal,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,?,Realis/irrealis is not a morphological category in Dharumbal; tense/mood system has no such distinction. Source: Terrill 2002: in passim
